google_id,name,dept,h_index,i10index,min_year,max_year,t_publication,t_pubs_citations,highest_citations,mean_of_IF,mean_of_co_authors,num_nsf,t_deflated_nsf,num_nih,t_deflated_nih,Y05yr,KTotal,KDirect,KMediated,Chi,BetCentrality,PRCentrality,XDIndicator,SchoolRank
bqkhX54AAAAJ,SURESH JAGANNATHAN ,CS,35,81,1985,2016,130,3903,279,1.052,3.223,13,4380244,0,0,1985,139,12,127,0.07476635514018691,8719.451935872701,0.0003536347864577788,CS,20
bqlarqIAAAAJ,YING ZHANG ,BIO,59,157,1991,2016,183,12959,1256,4.824,6.377,4,1000028,45,18673830,1990,1215,52,1163,0.33698030634573306,157847.331089629,0.001398384070116886,XD,5
Br2CnUYAAAAJ,VLADIMIR BULOVIC ,CS,85,223,1994,2016,172,16886,4064,9.047,5.087,6,1257114,0,0,1990,184,6,178,0.13618677042801555,3754.2772067351666,0.00025548086532770027,CS,1
br7IEH4AAAAJ,JOSEPH E PETERS ,BIO,14,17,1995,2015,22,558,105,5.775,4.682,3,737814,0,0,1995,142,3,139,0.15384615384615385,2770.9884754686777,0.00018523675917936084,BIO,11
brdXz7oAAAAJ,ADRIANA D BRISCOE ,BIO,27,41,1999,2017,51,1905,204,6.068,6.529,8,2762242,0,0,1995,313,9,304,0.5674418604651162,10432.706189331444,0.0003148354628869038,XD,34
bRjJOrMAAAAJ,SCOTT FRASER SMITH ,CS,29,46,1981,2016,74,3235,538,2.013,2.514,18,4188041,0,0,1980,46,3,43,0.17391304347826086,499.5551262129093,0.00010768154098615163,CS,28
bRqMv80AAAAJ,JENNIFER BH MARTINY ,BIO,38,54,2006,2016,41,3792,883,7.303,6.488,11,5283578,0,0,2005,337,9,328,0.39634146341463417,6517.609511098895,0.00031136121561620774,BIO,34
BS0cWWoAAAAJ,MARK J REBEIZ ,BIO,16,21,1999,2016,28,1569,319,9.282,5.5,1,484699,0,0,1995,158,7,151,0.3625,6540.524464501173,0.00022597685564127828,XD,42
bsFxGUIAAAAJ,VASSILIS ZIKAS ,CS,11,11,2008,2016,21,223,41,0,3.952,0,0,0,0,2005,91,2,89,0,0,0.00007500134033226323,CS,52
bsoRFLAAAAAJ,DANIEL J SORIN ,CS,35,67,1998,2016,88,5449,1582,1.574,3.75,11,4246769,0,0,1995,165,7,158,0.13793103448275862,1136.7927872745058,0.00020045383667974655,CS,25
bsROXv0AAAAJ,MOLLY PRZEWORSKI ,BIO,44,57,1998,2016,63,9634,1583,13.337,5.238,1,126629,0,0,1995,204,10,194,0.34810126582278483,2951.5357573199785,0.0002998640830477514,XD,14
bsxzelIAAAAJ,EROS LAZZERINI DENCHI ,BIO,18,22,2000,2017,22,3938,636,14.607,5.591,0,0,0,0,2000,102,1,101,0.08974358974358974,0,0.00007181651199931662,BIO,9
bt2wk9EAAAAJ,TONY D GIVARGIS ,CS,27,52,1998,2016,91,2326,207,1.102,2.681,4,1935255,0,0,1995,72,2,70,0.07142857142857142,0,0.00008636535827188768,CS,29
btdnr-gAAAAJ,MELISSA K GARDNER ,BIO,20,24,2004,2016,35,1297,136,9.499,6.229,0,0,8,1218411,2000,140,3,137,0.16666666666666666,0,0.0001251934142073005,BIO,34
BteJZfwAAAAJ,ELINOR K KARLSSON ,BIO,26,31,2002,2015,34,12364,5857,18.414,24.971,0,0,2,0,2000,596,12,584,0.5889387144992526,1921.2846549747594,0.0002966688164531384,XD,50
BtpxluIAAAAJ,YANIF AHMAD ,CS,13,17,2002,2016,30,2002,1377,1.528,5.1,0,0,0,0,2000,137,10,127,0.11267605633802817,1181.785438531461,0.00022667116530930304,CS,28
bU3P8twAAAAJ,M LUISA IRUELA-ARISPE ,BIO,65,124,1989,2016,143,15401,1118,7.634,6.357,0,0,60,16567405,1985,413,5,408,0.0967741935483871,3330.3228618060098,0.00018763270730881565,XD,19
BUJPA5QAAAAJ,GOKHAN MEMIK ,CS,36,91,1999,2016,140,4506,317,1.699,4.371,10,3758604,0,0,1995,339,12,327,0.176056338028169,4418.81615142732,0.0003036303137820863,CS,34
BuqiJJwAAAAJ,SCOTT MICHAEL GIFFORD ,BIO,13,16,2007,2015,17,800,199,8.761,6.529,0,0,0,0,2005,88,0,88,0.12280701754385964,0,0,BIO,26
BvErxkIAAAAJ,STEPHAN LAMMEL ,BIO,9,9,2008,2015,8,1580,457,17.828,7.75,0,0,0,0,2005,30,1,29,0.08888888888888889,0,0.00007544397279468762,BIO,4
BVXyodYAAAAJ,RAMANI DURAISWAMI ,CS,49,117,1992,2016,189,8666,1607,2.21,3.386,15,11439744,0,0,1990,157,10,147,0.1038961038961039,2604.504984561738,0.00025724365971038673,CS,15
BVYbQKkAAAAJ,RYAN NICHOLAS GUTENKUNST ,BIO,21,27,2003,2016,39,3346,674,8.532,12.615,1,535073,0,0,2000,694,14,680,0.7134986225895317,6467.56451953278,0.00035795198622017363,XD,38
bWL2gvUAAAAJ,CHARLES JOEL ARNTZEN ,BIO,79,189,1968,2015,242,20642,900,6.999,4.128,5,205983,25,18471188,1965,304,3,301,0.09297052154195011,775.3268378145984,0.00013228197152109826,XD,55
bWTPrLEAAAAJ,JOHN N TSITSIKLIS ,CS,75,214,1982,2016,266,29109,5133,2.141,2.583,13,5381051,0,0,1980,170,5,165,0.09230769230769231,4431.630209791825,0.00019188204398195056,CS,1
Bwtxxf8AAAAJ,BERND STURMFELS ,CS,76,232,1986,2016,96,10764,655,1.518,2.479,10,2782903,0,0,1985,262,14,248,0.1987179487179487,13895.926347530176,0.00032633642238424237,XD,1
BXEDBDUAAAAJ,BETSY JAMES DISALVO ,CS,12,13,2008,2016,24,342,68,1.85,3.917,0,0,0,0,2005,40,2,38,0.023255813953488372,0,0.0000843348958111711,CS,9
bxi6JXYAAAAJ,DANA ANGLUIN ,CS,39,63,1976,2017,76,13756,2007,1.568,2.539,4,1070372,0,0,1975,120,5,115,0.14814814814814814,1101.3276091976916,0.0001446662143242216,CS,20
BXp6PIIAAAAJ,TING ZHU ,CS,21,37,2006,2016,73,1426,149,1.872,4.644,14,4170744,0,0,2005,327,7,320,0.29411764705882354,1301.48859823525,0.00020861273978063963,CS,70
BY4seCsAAAAJ,DENNIS R BUCKMASTER ,BIO,21,38,1986,2014,88,1952,407,1.203,3.25,0,0,0,0,1985,54,0,54,0.08791208791208792,0,0,BIO,55
bY5WiJIAAAAJ,SIMONE CAMPANONI ,CS,11,11,2007,2015,23,328,57,0.781,4.522,0,0,0,0,2005,40,2,38,0.06896551724137931,21.183765476544618,0.00008773962211619488,CS,34
BY9TLu8AAAAJ,DANIEL JAMES HASSELMAN ,BIO,7,6,2003,2016,14,191,37,2.804,4.786,0,0,0,0,2000,16,1,15,0.12903225806451613,0,0.00007917349684746655,BIO,55
bycRtxe_xEAC,LOREN E WOLD ,BIO,32,50,2000,2015,63,3466,612,5.019,5.984,0,0,11,2880654,2000,65,0,65,0.08176100628930817,0,0,BIO,42
bYI7VMwAAAAJ,KAMESH MADDURI ,CS,25,34,2004,2016,61,2078,224,1.432,3.705,2,1257784,0,0,2000,174,6,168,0.18947368421052632,836.9317149631257,0.00016235021299181187,CS,29
bykS5JAAAAAJ,CUNMING DUAN ,BIO,44,86,1990,2016,98,5224,321,4.28,4.531,7,2511401,11,2690275,1990,305,1,304,0.15270935960591134,0,0.00007509083743061459,BIO,19
BzlPljQAAAAJ,ISWAR K HARIHARAN ,BIO,38,54,1982,2016,66,6079,555,12.028,4.227,1,28181,0,0,1980,127,2,125,0.07042253521126761,435.897814761773,0.00009874109585665455,BIO,4
bzOPvCYAAAAJ,SENTHOLD ASSENG ,BIO,41,83,1995,2016,139,7217,1627,3.568,9.079,1,366036,0,0,1995,295,7,288,0.25667351129363447,4065.6451716790693,0.0002334235847272167,XD,55
bzw5nP8AAAAJ,AMY E DUNHAM ,BIO,13,17,1997,2016,20,445,72,3.703,3.1,1,278503,0,0,1995,53,1,52,0.06060606060606061,0,0.00011129387536981283,BIO,42
b_F9oVsAAAAJ,CAROLINE E FARRIOR ,BIO,8,7,2005,2016,10,211,89,9.11,4.1,0,0,0,0,2005,62,2,60,0.2222222222222222,0,0.00008967871514564213,BIO,30
c-LG6-MAAAAJ,SIDNEY K D'MELLO ,CS,44,122,2004,2017,205,6687,819,2.327,3.888,0,0,0,0,2000,97,3,94,0.05263157894736842,292.73083757580196,0.00012246395263460565,CS,60
C-Vx2wIAAAAJ,KLEIN E ILELEJI ,BIO,16,31,2000,2015,55,1037,90,2.675,3.673,0,0,0,0,2000,75,3,72,0.06896551724137931,146.92301391791742,0.00020195921845259633,BIO,55
c0dqLZAAAAAJ,LEE A FUIMAN ,BIO,37,82,1977,2016,102,5107,323,3.064,2.961,7,1859632,0,0,1975,129,2,127,0.06299212598425197,366.7396106916975,0.00011178922582560145,BIO,30
c0yPSEYAAAAJ,TAL GEULA MALKIN ,CS,39,55,1998,2016,66,4550,537,1.316,3.985,7,2652311,0,0,1995,274,15,259,0.07608695652173914,2717.041559183848,0.0003280289858421707,CS,15
C19mgCgAAAAJ,LIRONG XIA ,CS,26,43,2003,2016,73,1814,149,1.322,2.685,1,185598,0,0,2000,152,7,145,0.18867924528301888,2691.247787259821,0.0002104585699106153,XD,52
C1c54H4AAAAJ,TIM STEARNS ,BIO,54,81,1988,2015,101,9464,527,10.483,3.96,0,0,20,5994531,1985,286,9,277,0.08035714285714286,11906.138046019381,0.0003594181340189858,BIO,1
C1CQv3YAAAAJ,MARK A FRYE ,BIO,24,42,1999,2017,45,1416,249,6.109,3.044,2,684060,20,2199237,1995,31,0,31,0.06382978723404255,0,0,BIO,19
C1jREowAAAAJ,A MICHELLE WOOD ,BIO,28,45,1979,2015,45,2298,225,3.661,5.289,0,0,0,0,1975,166,5,161,0.09361702127659574,3326.1954334906977,0.00017936441039799591,BIO,55
C1skWKgAAAAJ,REMZI H ARPACI-DUSSEAU ,CS,49,93,1994,2016,119,5575,297,1.043,5.395,16,6649095,0,0,1990,368,23,345,0.47058823529411764,11540.275906996547,0.000517716135746514,XD,11
C1VwgssAAAAJ,BERNARD MARIE CHAZELLE ,CS,68,152,1979,2016,180,17432,1623,2.176,2.339,14,14271370,0,0,1975,187,13,174,0.12941176470588237,5272.811934320172,0.000301907102255795,CS,8
C2k6mYwAAAAJ,SURYA RAJU KALIDINDI ,CS,59,159,1990,2016,206,11006,848,4.076,3.621,24,10828718,0,0,1990,220,0,220,0.08130081300813008,0,0,CS,9
c5HeXxsAAAAJ,STERGIOS I ROUMELIOTIS ,CS,48,125,1997,2017,176,8617,655,2.212,3.017,10,7307157,0,0,1995,76,6,70,0.03508771929824561,1339.5254050654123,0.00019022898490798077,CS,29
C6DtGmMAAAAJ,JOHN C DOYLE ,CS,90,243,1978,2016,306,47122,6859,6.334,3.758,39,60355099,0,0,1975,746,13,733,0.40877598152424943,9392.596312605141,0.0003576963481013108,XD,11
C6Pd5zoAAAAJ,SORIN L LERNER ,CS,24,36,2000,2016,47,2635,588,0.548,3.957,10,6515111,0,0,2000,174,13,161,0.08695652173913043,5079.835643635858,0.00032271926589499055,CS,15
C7htwEIAAAAJ,YINQIAN ZHANG ,CS,8,8,2008,2016,17,971,404,0,3.588,1,161000,0,0,2005,74,4,70,0.04,25.023003789176204,0.00011489679333977375,CS,34
C7T_UdYAAAAJ,SARKIS K MAZMANIAN ,BIO,46,60,1999,2016,68,12742,1413,14.824,6.059,1,1936995,25,7309384,1995,369,9,360,0.2125,14535.917717669568,0.00031394614963968075,XD,5
c8mdOEgAAAAJ,J MICHAEL REED ,BIO,37,86,1982,2016,124,4674,526,2.73,3.371,5,2883856,0,0,1980,149,3,146,0.03488372093023256,830.434637152868,0.00017980433068232206,BIO,68
cA28Zs0AAAAJ,TAREK FAROUK ABDELZAHER ,CS,77,206,1995,2016,297,24675,3331,1.687,4.966,35,12171226,0,0,1995,723,39,684,0.17902813299232737,28664.92738355483,0.0008197319412081205,CS,5
CaO1wNAAAAAJ,PARASCHOS KOUTRIS ,CS,12,12,2010,2016,23,463,62,1.055,3.609,0,0,0,0,2010,88,3,85,0.1,114.56087207481671,0.00009800291385047801,CS,11
cau1NIYAAAAJ,CONGCONG HE ,BIO,15,15,2006,2016,16,1229,521,12.069,6.375,0,0,5,622286,2005,185,3,182,0.42857142857142855,647.2203357584913,0.00011598071147339116,XD,26
CaVJjX8AAAAJ,CHELSEA DVORAK SPECHT ,BIO,24,42,1997,2016,60,1628,237,3.672,6.367,9,1929508,0,0,1995,368,12,356,0.5892255892255892,9470.915768838735,0.0003580942560605455,XD,4
ca_O-WQAAAAJ,LARRY F ABBOTT ,BIO,86,190,1976,2016,230,28579,1733,6.946,2.665,0,0,0,0,1975,189,4,185,0.15025906735751296,10736.10119638457,0.0002895335034040445,BIO,14
CB3K5kwAAAAJ,LINDA L WERNER ,CS,19,23,2000,2016,45,2042,331,1.499,3.8,6,3570385,0,0,2000,39,1,38,0.04878048780487805,0,0.00007001054467148751,CS,56
CBjDcy8AAAAJ,JEREMY ARTHUR GOLDBOGEN ,BIO,18,27,2005,2016,48,1184,165,4.274,5.458,0,0,0,0,2005,41,2,39,0.022727272727272728,135.2259018743337,0.0001046586219038959,BIO,1
cbQB0MMAAAAJ,SHUANG ZHAO ,CS,9,9,2008,2014,14,392,75,3.985,4.786,0,0,0,0,2005,97,5,92,0.5245901639344263,1796.2638434405035,0.0001652825357505754,XD,29
cbTB5-EAAAAJ,DEEPAK GANESAN ,CS,36,61,2001,2016,77,9290,1510,1.839,4.883,13,5547030,2,735389,2000,378,16,362,0.13157894736842105,4078.9644532018297,0.0003508525842120866,CS,25
cc4Qi_IAAAAJ,SACHIN RAJSEKHAR KATTI ,CS,35,61,2003,2016,81,12542,1809,1.777,4.556,3,585465,0,0,2000,273,8,265,0.06060606060606061,632.6824095176195,0.00020458292429969134,CS,1
CcbnBvgAAAAJ,JIEBO LUO ,CS,66,193,1993,2017,309,12836,1207,2.943,3.722,0,0,0,0,1990,661,19,642,0.20833333333333334,23838.79259026603,0.00046263361230837664,XD,52
CCGI7x4AAAAJ,RICHARD WILSON VUDUC ,CS,32,57,1997,2016,87,4310,662,1.482,4.046,18,6669368,0,0,1995,277,8,269,0.1037037037037037,1552.4916394738536,0.0002179115850963885,CS,9
CD6IAXYAAAAJ,THOMAS E JUENGER ,BIO,35,63,1996,2016,76,2745,146,5.414,6.197,6,10150899,0,0,1995,314,11,303,0.128099173553719,8163.521413379065,0.0003661765463482856,BIO,30
cdckpV4AAAAJ,L RYAN BAUGH ,BIO,16,22,2001,2017,22,1692,545,11.118,5.227,0,0,0,0,2000,129,3,126,0.32786885245901637,157.6731328768652,0.00012969492746976407,XD,11
CdQUR_wAAAAJ,S HANI NAJAFI-SHOUSHTARI ,BIO,13,13,2001,2015,12,1277,577,16.88,8.75,0,0,0,0,2000,130,2,128,0.2361111111111111,85.90670108414231,0.00008412628162279189,BIO,26
CE2he2MAAAAJ,HANS-GUIDO WENDEL ,BIO,20,30,2000,2017,45,2931,879,11.587,11.489,0,0,12,3291389,2000,270,4,266,0.15018315018315018,898.1894556578987,0.00016679037457785825,BIO,26
CeieiIgAAAAJ,TAJANA SIMUNIC ROSING ,CS,44,101,2000,2016,134,4209,329,1.054,4.463,14,15940807,0,0,2000,404,24,380,0.11637931034482758,9122.860271856545,0.0005061867236036161,CS,15
cF2lHxgAAAAJ,JOHN J IACONO ,CS,21,38,2000,2016,75,1329,167,0.707,4.6,6,2329512,0,0,2000,115,5,110,0.08080808080808081,87.13811625749605,0.00014550350954182936,CS,70
cF6i_goAAAAJ,SAMAN PRABHATH AMARASINGHE ,CS,59,114,1993,2016,136,15197,1155,1.012,5.544,10,8895071,0,0,1990,310,17,293,0.13545816733067728,6630.925115481524,0.0004114761729843099,CS,1
cFbbY_gAAAAJ,DANIEL T BLUMSTEIN ,BIO,61,211,1989,2016,247,10516,520,3.611,4.073,0,0,0,0,1985,276,17,259,0.12716763005780346,52229.36512661826,0.0005615620654335996,XD,19
cfdcgXcAAAAJ,ALAN GARFINKEL ,BIO,61,140,1983,2016,177,11358,1020,6.76,6.282,1,310000,5,1300929,1980,156,2,154,0.12228260869565218,105.3942339700237,0.0000876303112159345,XD,19
CfLHDYgAAAAJ,HASAN METIN AKTULGA ,CS,13,14,2007,2016,28,654,185,1.896,6.893,0,0,0,0,2005,125,1,124,0.2,0,0.00005988631372746443,CS,56
CfnktjkAAAAJ,JOAN ELIZABETH STRASSMANN ,BIO,57,147,1979,2016,183,8191,451,7.816,4.246,23,13802633,0,0,1975,369,11,358,0.2265625,6929.416907775563,0.0003109076828636561,XD,11
cfwxm0AAAAAJ,DANIEL I BOLNICK ,BIO,50,80,1999,2017,84,8365,1342,4.924,3.56,5,2213855,0,0,1995,204,6,198,0.10619469026548672,2499.099074939961,0.00023590626400990283,BIO,30
CG36zWQAAAAJ,ILIAS TAGKOPOULOS ,CS,12,16,2003,2016,34,742,236,7.815,4.324,5,908834,0,0,2000,136,5,131,0.6896551724137931,1739.385697030148,0.00018754792542152618,XD,34
cgaU4UkAAAAJ,JUNAED SATTAR ,CS,12,13,2005,2014,25,505,125,1.802,4.4,0,0,0,0,2005,43,0,43,0.04878048780487805,0,0,CS,29
cgBKv78AAAAJ,DANIEL A RUSSELL ,BIO,17,19,2001,2016,24,1824,734,7.16,28.208,0,0,0,0,2000,444,6,438,0.19607843137254902,2773.2578976660607,0.0002189545479397741,BIO,42
CgItEbQAAAAJ,GREGORY JOHN VALIANT ,CS,22,27,2006,2016,40,1084,134,6.606,2.775,1,468016,0,0,2005,187,9,178,0.075,467.2342032118979,0.00021059143888988238,CS,1
CGtmFscAAAAJ,J WILL MEDLIN ,BIO,27,57,1999,2016,80,1855,166,5.75,3.325,0,0,0,0,1995,20,3,17,0.011111111111111112,7732,0.00029827968163717713,BIO,30
CgwmgHoAAAAJ,KATY KELLY ,BIO,1,0,2013,2014,3,3,1,0,2.667,0,0,0,0,2010,0,0,0,0,0,0,BIO,11
Cg_mRhMAAAAJ,CHARLES SCOTT GASSER ,BIO,41,63,1982,2016,69,6527,750,7.881,4.841,13,4441122,0,0,1980,134,2,132,0.10126582278481013,904.5383223062655,0.00010566192008445972,BIO,19
ChHokKEAAAAJ,CASSANDRA GM EXTAVOUR ,BIO,17,31,2001,2016,43,1033,100,4.405,6.907,6,1164380,0,0,2000,290,7,283,0.3080568720379147,4890.811400689154,0.00025082117039431896,BIO,1
CHIZtZAAAAAJ,IGOR L MARKOV ,CS,58,137,1997,2016,190,9696,403,1.434,3.389,6,3392431,0,0,1995,166,15,151,0.12987012987012986,12817.010067065126,0.000408006628077295,XD,13
ChtFYsIAAAAJ,JOY B ZEDLER ,BIO,62,173,1969,2016,199,10238,561,2.857,2.779,4,911519,0,0,1965,103,6,97,0.04060913705583756,4368.613059460018,0.0002666020573096924,BIO,18
chwPsSIAAAAJ,DANIEL D CARSON ,BIO,53,144,1978,2016,171,7014,390,4.379,4.45,0,0,0,0,1975,188,3,185,0.053691275167785234,316.5688896754678,0.00013543126581588074,BIO,42
chXHpdIAAAAJ,EVAN O PAULL,BIO,9,8,2013,2016,7,82,28,19.45,15.143,0,0,0,0,2010,265,5,260,0.6593406593406593,3254.220592983523,0.00018698103141567412,XD,55
cI-fi9MAAAAJ,ERICH D JARVIS ,BIO,53,104,1986,2016,119,12544,1422,9.375,12.479,3,1031703,0,0,1985,1158,28,1130,0.6251455180442375,35078.3883550715,0.0007053234421076486,XD,11
ci2F0o8AAAAJ,KERRY S BLOOM ,BIO,58,123,1975,2016,144,8158,346,8.049,5.389,2,473407,0,0,1975,438,7,431,0.2420749279538905,5303.961057092733,0.00023595827792105084,XD,26
CiBRJ_EAAAAJ,OWEN ARDEN,CS,5,5,2012,2015,7,133,45,0,4.571,0,0,0,0,2010,28,2,26,0.2222222222222222,0,0.00007933408058021264,CS,56
CidT-JAAAAAJ,DAVID B LEAKE ,CS,42,111,1986,2016,148,5282,982,1.427,2.446,3,608062,3,0,1985,141,3,138,0.1348314606741573,307.39426359745823,0.00011248333358165415,CS,52
CIfyNMgAAAAJ,GEORGE W KLING ,BIO,47,90,1984,2016,102,7928,885,5.978,6.324,17,18344941,0,0,1980,185,15,170,0.04945054945054945,6280.740179350553,0.00046471884188349296,BIO,19
CIh57tYAAAAJ,LIVIU IFTODE ,CS,52,104,1993,2016,147,7956,822,2.11,4.279,9,5385563,0,0,1990,427,18,409,0.12735849056603774,19863.090189358925,0.00042913528751325835,CS,34
ciQ3dn0AAAAJ,MARK YU BORODOVSKY ,CS,44,75,1989,2016,87,15085,3521,7.749,8,1,334969,16,5119228,1985,684,8,676,0.5100401606425703,7309.044560727948,0.0002502490772838841,XD,9
CIRxTfUAAAAJ,MINA RAIS-ZADEH ,CS,20,37,2005,2016,71,997,118,2.399,3.324,4,1634864,0,0,2005,65,3,62,0.15,48.169105392091154,0.00013066658038868008,CS,13
cjkgjggAAAAJ,DAVID D JENSEN ,CS,42,79,1989,2016,101,8136,2009,2.655,3.228,11,8914734,0,0,1985,301,16,285,0.16279069767441862,8482.178093998617,0.0003786031414864022,CS,25
CJKIVooAAAAJ,PETER A BELENKY ,BIO,13,13,2004,2017,15,784,191,12.466,7.2,0,0,0,0,2000,76,0,76,0.13559322033898305,0,0,BIO,34
CJYvcWQAAAAJ,KE DONG ,BIO,29,49,1990,2015,57,2421,215,3.883,5.053,4,1568306,21,5380927,1990,124,5,119,0.1652892561983471,3556.721639246797,0.00020362208458143683,XD,50
cKi7xAcAAAAJ,WENDY RYAN GORDON ,BIO,10,10,2007,2015,10,925,257,7.867,9.9,0,0,1,0,2005,104,0,104,0.1,0,0,BIO,34
CknstQwAAAAJ,ETHAN B KATZ-BASSETT ,CS,18,25,2006,2016,40,1618,265,2.496,5.95,4,2492250,0,0,2005,209,12,197,0.09,2323.461633105002,0.0002712346952381947,CS,20
cKqUsd8AAAAJ,OZLEM KESKIN ,BIO,40,82,1998,2016,90,6016,1081,4.557,4.333,0,0,0,0,1995,126,1,125,0.16521739130434782,0,0.00007073741838540794,BIO,68
CKXeqHoAAAAJ,PHILIP JIA GUO ,CS,25,31,2005,2016,47,3273,786,1.163,3.426,2,108768,0,0,2005,121,7,114,0.19672131147540983,3035.8853644255805,0.00018956511913759166,CS,52
CK_GLC8AAAAJ,VICTOR VIANU ,CS,45,80,1977,2016,106,6191,378,1.009,2.821,10,5081120,0,0,1975,197,15,182,0.061946902654867256,8651.014655394005,0.0003814963204820192,CS,15
cl7CnNYAAAAJ,JOHN RUSSELL GILBERT ,CS,45,83,1975,2016,106,7377,922,1.302,3.915,18,3718239,7,3068110,1975,388,7,381,0.1917808219178082,1458.8799843815466,0.00019872348429012524,CS,34
cLb-v7gAAAAJ,SUMAN BANERJEE ,CS,49,103,2000,2016,147,11685,2103,1.765,3.952,24,8197216,0,0,2000,283,11,272,0.06802721088435375,2647.717617118402,0.00026964202057171746,CS,11
cLjMQqsAAAAJ,MADHAV V MARATHE ,CS,46,158,1992,2016,260,10014,1425,2.272,5.523,9,14879865,0,0,1990,491,23,468,0.17363344051446947,20750.535944404426,0.0005830214861395463,CS,40
CLTatQMAAAAJ,YANN S DUFOUR ,BIO,10,10,2005,2016,14,532,240,8.17,5.214,0,0,0,0,2005,81,0,81,0.11363636363636363,0,0,BIO,50
CM2zuJkAAAAJ,JIANZHI GEORGE ZHANG ,BIO,60,138,1996,2016,166,13715,1328,11.123,2.494,2,177131,20,3975572,1995,206,1,205,0.25609756097560976,0,0.0000591525092396838,BIO,19
cmHtVjAAAAAJ,JEFFREY S DUKES ,BIO,42,67,1999,2017,82,9138,1329,6.506,8.171,5,2085540,0,0,1995,339,10,329,0.09534883720930233,1750.3344080582192,0.0003064951353268223,BIO,55
Cmr9ljkAAAAJ,CLAIRE LE GOUES ,CS,16,16,2009,2016,26,1477,367,1.658,3.769,0,0,0,0,2005,86,5,81,0.08333333333333333,3256.5581424495676,0.00016498609280589198,CS,1
CMrWvzUAAAAJ,SUSAN DORIS MICHAELIS ,BIO,49,77,1980,2016,82,6948,402,6.294,4.622,0,0,0,0,1980,211,1,210,0.13471502590673576,0,0.00007366103599895546,BIO,5
cMvo_1MAAAAJ,CHANG HYUN KHANG ,BIO,13,13,1999,2016,16,1229,196,7.117,8.375,0,0,0,0,1995,84,0,84,0.17567567567567569,0,0,BIO,42
CNkmfDYAAAAJ,STEPHEN M MOUNT ,BIO,35,50,1981,2015,49,9980,3673,12.779,7.816,8,3711002,0,0,1980,664,26,638,0.8685015290519877,20967.160495865442,0.0006201442781302112,XD,55
CO7nYfIAAAAJ,DANIEL WICHS ,CS,29,44,2008,2017,56,3025,377,1.298,3.607,3,679962,0,0,2005,119,14,105,0.023255813953488372,1286.4169928587348,0.0003072614948721635,CS,60
COE6KUgAAAAJ,JUSTIN CAPPOS ,CS,14,21,2002,2016,49,615,144,0,4,12,6962931,0,0,2000,187,10,177,0.12359550561797752,1580.9072029206443,0.00024051679403826187,CS,70
COjq9XUAAAAJ,HENRY C HOFFMANN ,CS,30,44,2002,2016,60,3394,767,1.251,5.317,5,2831425,0,0,2000,207,6,201,0.104,2091.0992365489633,0.00018285252262562274,CS,34
Col6iRsAAAAJ,ANDREW DAVID MESECAR ,BIO,42,104,1995,2016,116,5791,333,4.523,7.448,0,0,32,9012801,1995,330,2,328,0.10893854748603352,139.12758902537044,0.00011995932932455335,BIO,55
CON0HeQAAAAJ,STEPHEN H ZINDER ,BIO,58,111,1977,2016,131,12009,1095,5.784,5.061,7,6593024,0,0,1975,407,7,400,0.22580645161290322,15941.700349666859,0.0002792597097486949,BIO,11
CONRN6AAAAAJ,RAY LUO ,BIO,42,77,1999,2016,88,12644,4408,3.738,8.432,0,0,16,3457665,1995,517,3,514,0.2862903225806452,1444.0945171552667,0.00012143651407505387,XD,34
COuXyKwAAAAJ,RUPAK MAJUMDAR ,CS,50,120,1996,2016,182,10268,1223,0.998,3.357,7,3054481,0,0,1995,240,16,224,0.06993006993006994,6672.583659305721,0.00042433727008716335,CS,13
CoxGqVsAAAAJ,ELLIOT M MEYEROWITZ ,BIO,110,238,1978,2016,266,50562,2592,11.765,4.91,12,16327211,0,0,1975,802,21,781,0.39173553719008264,24426.34502596197,0.0006225733924179036,XD,5
CpBXPVoAAAAJ,NIKIL D DUTT ,CS,59,277,1989,2016,439,12173,505,1.042,3.82,12,5683853,0,0,1985,348,15,333,0.0798611111111111,5444.686631349878,0.00033434947328521235,CS,29
cpgUf6wAAAAJ,EHSAN ELHAMIFAR ,CS,14,14,2005,2015,20,2217,706,3.827,2.65,0,0,0,0,2005,82,2,80,0.22727272727272727,30.255519023178604,0.00008548769145857812,CS,60
CPnkYYMAAAAJ,BRUCE A WELT ,BIO,17,26,1992,2016,44,789,96,2.155,4.545,1,782599,0,0,1990,42,2,40,0.04918032786885246,5.052631578947369,0.000147532446918939,BIO,55
CPye2b4AAAAJ,PETER M ARONOW ,BIO,14,15,2011,2016,23,404,81,5.269,2.565,0,0,0,0,2010,2,1,1,0,0,0.00010130483260617486,BIO,7
Cp_G5UwAAAAJ,CHRIS J COTSAPAS ,BIO,21,30,2003,2016,34,4424,1062,11.8,27.235,0,0,3,273333,2000,646,10,636,0.48583569405099153,2698.6173489753855,0.00025702361117578456,XD,7
cQ1P1qoAAAAJ,RYAN J TIBSHIRANI ,CS,13,15,2008,2016,16,1037,271,2.042,2.5,2,102865,0,0,2005,47,4,43,0.37037037037037035,2064.9542347634583,0.0001517207905145677,XD,1
CQcd1cQAAAAJ,DONGYAN XU ,CS,42,87,1998,2016,129,7133,585,1.806,4.016,11,8764101,0,0,1995,384,9,375,0.2074074074074074,1257.1993381600237,0.00023177216648686205,CS,20
